"","replicate_fingerprinting","sample","farm_code","sp_sample","sp_tricot","sp_id","sp_tgroup","index_final_value","source","source_who","first_time_seed","gender","treated","tricot","inder","tech_pkg","education","SEF1","SEF2","SEF3","SEF4","match","match2","match3","match4","farmer_clean_name","farmer_identified_name","original_farmer_identified_name","dna_identified_first","dna_identified_second_processed","dna_identified_second","dna_identified_third","dna_identified_fourth","gendist_match4","gendist_match3","gendist_match2","first_gen_distance","second_gen_distance","third_gen_distance","fourth_gen_distance","first_similarity","second_similarity","third_similarity","fourth_similarity","first_match","second_match","first_cat","second_cat","region","district","village","seed_origin","seed_source","first_time_seed_use","seed_cycles","area","max_ref_distance_1","sd_ref_distance_1","range_max","FCI","FCI_2","match_only_name","match_name_manual_cleaning","invFCI","invFCI_SP","count_neigh_1km","count_match_1km","ratio_match_1km","count_neigh_5km","count_match_5km","ratio_match_5km","gender_recoded"
"1",1,"F1_1C",1,"yes",1,205,"T1",7,"Reliable","Producers' association - bought","Yes",1,0,1,1,1,16,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","victoria","victoria","matambu","cabecar",0.058726676,0.058726676,0.058726676,0.058726676,0.119205296,0.12747797,0.13036303,94.1273324,88.0794704,87.252203,86.963697,"TRUE","FALSE","category 1","category 2","South","Pejibaye","Veracruz","La compré a la Asociación de productores","Reliable","Yes","NA","1.4",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,4,2,0.5,54,32,"0.592592593",0
"2",1,"F1_2B",1,"yes",1,205,"T1",7,"Reliable","Producers' association - bought","Yes",1,0,1,1,1,16,0,0,0,0,0,1,1,1,"cabecar","cabecar","cabecar","victoria","cabecar","cabecar","matambu","changuena",0.06978022,0.06978022,0.06978022,0.053168043,0.06978022,0.10313531,0.10535025,94.6831957,93.021978,89.686469,89.464975,"FALSE","TRUE","category 1","category 1","South","Pejibaye","Veracruz","La compré a la Asociación de productores","Reliable","Yes","NA","1",0.0024738868,0.0001425694227528,0.0026164562227528,1,1,"FALSE","FALSE",0,0,4,2,0.5,54,32,"0.592592593",0
"3",1,"F2_1B",2,"yes",1,240,"B",0,"Unreliable","Bought other producers in CR","Yes",1,0,0,0,0,6,0,0,0,0,0,0,0,0,"dontknow","dontknow","no se","nambi","guaymi","guaymi","victoria","cabecar",0.1080786,0.1080786,0.1080786,0.1080786,0.1182266,0.12973121,0.14024056,89.19214,88.17734,87.026879,85.975944,"FALSE","FALSE","category 4","category 4","South","Pejibaye","Veracruz","La compré a otros productores en Costa Rica","Unreliable","Yes","NA","0.35",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"FALSE","FALSE",0,0,5,4,0.8,60,37,"0.61666666699999995",0
"4",1,"F3_1B",3,"yes",1,251,"T1",0,"Reliable","Producers' association - bought","Yes",1,0,0,0,0,6,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila","matambu","RCB 593",0.059452523,0.059452523,0.059452523,0.059452523,0.12200342,0.12692967,0.13784246,94.0547477,87.799658,87.307033,86.215754,"TRUE","FALSE","category 1","category 2","South","Pejibaye","Veracruz","La compré a la Asociación de productores","Reliable","Yes","NA","0.25",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,5,3,0.6,60,36,"0.6",0
"5",1,"F4_1B",4,"yes",0,540,"T2",0,"Unreliable","Bought other producers in CR","Yes",1,0,1,1,0,0,0,0,0,0,1,1,1,1,"landraces","sacapobres","saca pobres rojo","sacapobres","generalito","generalito","gibre","mantequilla",0.021223815,0.021223815,0.021223815,0.021223815,0.07362638,0.100054674,0.11175497,97.8776185,92.637362,89.9945326,88.824503,"TRUE","FALSE","category 1","category 1","South","Pejibaye","Veracruz","La compré a otros productores en Costa Rica","Unreliable","Yes","NA","0.3",0.024711696,0.00172884756304863,0.0264405435630486,0,0,"TRUE","TRUE",1,1,0,0,0,48,30,"0.625",0
"6",1,"F4_2B",4,"yes",0,540,"T2",0,"Unreliable","Bought other producers in CR","Yes",1,0,1,1,0,0,0,0,1,1,0,0,0,0,"guaymi","guaymi","guaimy","nambi","tequila","tequila(2)/uran(1)","uran","RCB 593",0.0038230475,0.0038230475,0.0038230475,0.0038230475,0.13136289,0.13646348,0.13890411,99.61769525,86.863711,86.353652,86.109589,"FALSE","FALSE","category 1","category 3","South","Pejibaye","Veracruz","La compré a la Asociación de productores","Reliable","No","100","2",0.0041163554,0.000142799891081788,0.00425915529108179,0,0,"FALSE","FALSE",1,1,0,0,0,48,30,"0.625",0
"7",1,"F5_1B",5,"yes",1,202,"T1",6,"Unreliable","Kept it from previous season","No",1,1,1,0,0,3,0,0,0,0,1,1,1,1,"changuena","changuena","changuina","changuena","suru","suru","diquis","victoria",0.062087912,0.062087912,0.062087912,0.062087912,0.122112215,0.13788377,0.139011,93.7912088,87.7887785,86.211623,86.0989,"TRUE","FALSE","category 1","category 2","South","Pejibaye","Zapote","La guardé de cosechas anteriores","Unreliable","No","2","0.7",0.046780407,0.00607496353412312,0.0528553705341231,1,1,"TRUE","TRUE",0,0,2,1,0.5,35,22,"0.62857142899999996",0
"8",1,"F5_2B",5,"yes",1,202,"T1",6,"Unreliable","Kept it from previous season","No",1,1,1,0,0,3,0,0,1,1,1,1,1,1,"nambi","nambi","lambi","nambi","tequila","tequila(2)/uran(1)","uran","RCB 593",0.0038209606,0.0038209606,0.0038209606,0.0038209606,0.13129103,0.13638858,0.13882804,99.61790394,86.870897,86.361142,86.117196,"TRUE","FALSE","category 1","category 3","South","Pejibaye","Zapote","La guardé de cosechas anteriores","Unreliable","No","8","2",0.0041163554,0.000142799891081788,0.00425915529108179,0,0,"TRUE","TRUE",1,1,2,1,0.5,35,22,"0.62857142899999996",0
"9",1,"F6_1B",6,"yes",0,214,"C",7,"Unreliable","Kept it from previous season","No",1,1,0,1,0,0,0,0,0,0,1,1,1,1,"cabecar","cabecar","cabecar","cabecar","victoria","victoria","matambu","tayni",0.07103825,0.07103825,0.07103825,0.07103825,0.09758772,0.12068965,0.122677594,92.896175,90.241228,87.931035,87.7322406,"TRUE","FALSE","category 1","category 1","South","Pejibaye","Zapote","La guardé de cosechas anteriores","Unreliable","No","2","0.4",0.077070765,0.00190190515067399,0.078972670150674,0,0,"TRUE","TRUE",1,1,2,1,0.5,31,18,"0.58064516099999997",0
"10",1,"F6_2B",6,"yes",0,214,"C",7,"Unreliable","Kept it from previous season","No",1,1,0,1,0,0,0,0,0,0,1,1,1,1,"nambi","nambi","nambi","nambi","tequila","tequila","matambu","RCB 593",0.06007646,0.06007646,0.06007646,0.06007646,0.11946419,0.13150685,0.13902572,93.992354,88.053581,86.849315,86.097428,"TRUE","FALSE","category 1","category 2","South","Pejibaye","Zapote","La guardé de cosechas anteriores","Unreliable","No","2","0.2",0.0041163554,0.000142799891081788,0.00425915529108179,1,1,"TRUE","TRUE",0,0,2,1,0.5,31,18,"0.58064516099999997",0
